identifier,name,short_description,location,created_year
,Citi,Citigroup is a financial services holding company that provides various financial products and services.,New York,2007
,UBS,"UBS is a global financial services company that engages in wealth management, investment banking, asset management, and retail banking.",Zürich,2009
,Amazon,"Amazon is a global tech firm with a focus on e-commerce, cloud computing, digital streaming, and artificial intelligence.",Seattle,2014
,Ola Electric,Ola Electric focuses on developing and manufacturing electric vehicles (EVs) and related technologies.,Bengaluru,2019
,Groq,"Groq radically simplifies compute to accelerate workloads in artificial intelligence, machine learning, and high-performance computing.",Mountain View,2017
,Warburg Pincus,Warburg Pincus is a private equity firm focused on growth investing.,Boadilla Del Monte,2007
,NVIDIA,"NVIDIA is a computing platform company operating at the intersection of graphics, HPC, and AI.",Santa Clara,2008
,Intel,"Intel designs, manufactures, and sells integrated digital technology platforms worldwide.",Santa Clara,2008
,HSBC,HSBC is a banking and financial services organization that offers a comprehensive range of services.,London,2010
,Societe Generale,"Societe Generale is a financial services organization that offers retail, corporate, and investment banking services.",Paris,2007
,Fidelity,Fidelity is a privately-owned investment manager focusing on a diverse set of customers.,Boston,2008
,Gilead Sciences,"Gilead Sciences is a biopharmaceutical company that discovers, develops, manufactures and commercializes therapies for critical diseases.",Foster City,2010
,Pfizer,"Pfizer is a biopharmaceutical company that provides affordable access to safe, effective medicines and health care services.",New York,2008
,SoftBank,"SoftBank provides fixed-line, mobile telephony, internet, telecommunications, and digital television products.",Minato,2008
,Rio Tinto Ioc,Rio Tinto is a mining and metals company.,Melbourne,2013
,Starbucks,"Starbucks is an international restaurant chain that retails handcrafted coffee, tea, and fresh food items.",Seattle,2008
,Eli Lilly,"Eli Lilly engages in the discovery, development, manufacture, and sale of pharmaceutical products.",Indianapolis,2009
,BlackRock,"BlackRock is an investment company that offers its services to institutions, intermediaries, foundations, and individual investors.",New York,2014
,Sanofi,Sanofi is a healthcare company that provides treatments and the protection of life-saving vaccines.,Paris,2012
,Protect AI,Protect AI offers a cybersecurity platform that specializes in protecting machine learning models and artificial intelligence systems.,Seattle,2022
,Octane,Octane is a financial technology company that focuses on providing financing solutions for recreational purchases.,New York,2013
,AstraZeneca,"AstraZeneca is a pharmaceutical company that discovers, develops, manufactures, and markets prescription medicines.",Cambridge,2008
,Aisles,Aisles is a retail technology company seeking to transform the retail shopping experience through AI-powered technology.,Portland,2023
,FirstCry,FirstCry is an online shopping store offering a range of baby care products and toys.,Pune,2011
,Flo Health,"Flo Health develops a women’s health app that provides access to cycle tracking, health insights, and a private community.",London,2016
,Standard Chartered Bank,"Standard Chartered Bank provides current accounts, savings accounts, credit cards, and loans.",London,2012
,Scotiabank,Scotiabank is a banking firm that provides banking and financial services.,Toronto,2014
,Bristol-Myers Squibb,"Bristol-Myers Squibb engages in the discovery, development, licensing, manufacturing, marketing, distribution and sale of pharmaceuticals.",New York,2008
,Clio,Clio is a suite of web-based tools that help law firms in practice management and client collaboration.,Vancouver,2009
,DevRev,DevRev offers a cloud-based solution for both customer support and software development.,Palo Alto,2021
,Grab,"Grab is an mobile application that provides taxi, payment, lending, and insurance services.",Singapore,2014
,Bank of America,"Bank of America is a financial institution that offers credit cards, home loans, and auto loan services.",Charlotte,2008
,Antler,Antler is a global early-stage venture capital firm that builds and invests in the defining technology companies of tomorrow.,Singapore,2018
,OpenAI,OpenAI is an AI research and deployment company that conducts research and implements machine learning.,San Francisco,2016
,SAP,"SAP provides enterprise application software to various industries, including consumer, discrete manufacturing, public services.",Walldorf,2008
